#Note: Ir93a has been added manually (via blat) to this annotation (haven't actually checked for frameshifts or ptcs there, just assumed zero)
#gene	isoform	chr	start	end	strand	numCodons	numFrameshifts	numPremStop
FBgn0025837	FBtr0112921	X	10575	12809	-	571	0	0
FBgn0025836	FBtr0112919	X	13488	26718	+	1403	0	0
FBgn0025835	FBtr0300673	X	29420	34814	-	990	0	0
FBgn0029128	FBtr0100135	X	51554	74451	+	715	0	0
FBgn0040373	FBtr0070108	X	75526	77284	-	388	0	0
FBgn0040372	FBtr0070063	X	77448	85682	+	1637	0	0
FBgn0259722	FBtr0299979	X	86479	89940	+	92	0	0
FBgn0000316	FBtr0070064	X	86491	89998	+	601	0	0
FBgn0261446	FBtr0070106	X	89879	96528	-	330	0	0
FBgn0029518	FBtr0100649	X	99085	99702	-	193	1	0
FBgn0005427	FBtr0089441	X	101438	112672	-	840	0	0
FBgn0040370	FBtr0300326	X	119875	128868	-	306	0	0
FBgn0040371	FBtr0070069	X	134112	135334	+	195	0	0
FBgn0029521	FBtr0070070	X	141874	143318	+	392	0	0
FBgn0004034	FBtr0070071	X	179067	183380	+	541	0	26
FBgn0000022	FBtr0070072	X	191853	192834	+	201	0	0
FBgn0004170	FBtr0070073	X	217880	219321	+	345	0	0
FBgn0002561	FBtr0070074	X	231524	232639	+	257	0	0
FBgn0011822	FBtr0070100	X	252534	253837	-	407	0	0
FBgn0000137	FBtr0070075	X	276858	279568	+	486	0	0
FBgn0010019	FBtr0070099	X	283429	285664	-	556	0	0
FBgn0029524	FBtr0070078	X	295423	296129	+	121	0	0
FBgn0052817	FBtr0300328	X	295458	296129	+	121	0	0
FBgn0029525	FBtr0070094	X	296507	301282	-	1377	0	0
FBgn0023536	FBtr0070079	X	301658	304416	+	692	0	0
FBgn0023537	FBtr0070092	X	304465	307174	-	520	0	0
FBgn0023534	FBtr0070080	X	308532	310025	+	127	0	0
FBgn0004648	FBtr0070087	X	310127	323050	+	1439	0	0
FBgn0260400	FBtr0070091	X	331108	337554	-	483	0	0
FBgn0024983	FBtr0100476	X	342329	344661	-	441	0	0
FBgn0261930	FBtr0070110	X	389342	404304	+	723	0	0
FBgn0025633	FBtr0110791	X	416995	426533	-	1094	0	0
FBgn0029529	FBtr0070160	X	426820	427311	-	114	0	0
FBgn0016038	FBtr0089726	X	427679	429156	+	200	0	0
FBgn0025640	FBtr0070115	X	429593	430883	+	304	0	0
FBgn0026879	FBtr0070159	X	430875	431319	-	64	0	0
FBgn0025635	FBtr0070116	X	431695	434104	+	467	0	0
FBgn0002579	FBtr0070158	X	434437	435662	-	115	0	0
FBgn0001341	FBtr0070119	X	435996	439847	+	1133	0	0
FBgn0020381	FBtr0114560	X	439725	441903	-	494	1	0
FBgn0003575	FBtr0070120	X	442062	449755	+	1325	0	0
